date,balance,used
2023-12-09,1220809.9,147190.1
2023-12-10,1228538.2,153861.8
2023-12-11,1234117.2,162682.8
2023-12-12,1235048.0,176152.0
2023-12-13,1243791.7,181808.3
2023-12-14,1251791.2,188208.8
2023-12-15,1260214.2,194185.8
2023-12-16,1269650.9,199149.1
2023-12-17,1279401.7,203798.3
2023-12-18,1286977.5,210622.5
2023-12-19,1286297.7,225702.3
2023-12-20,1282967.0,243433.0
2023-12-21,1290410.8,250389.2
2023-12-22,1294241.5,260958.5
2023-12-28,1298460.3,285539.7
2023-12-29,1297451.0,286549.0
2023-12-31,1299197.8,299202.2
2024-01-02,1305538.8,307261.2
2024-01-03,1296859.1,315941.0
2024-01-04,1294297.4,332902.6
2024-01-05,1305775.1,335824.9
2024-01-06,1302624.7,338975.3
2024-01-07,1298128.0,343472.0
2024-01-08,1296663.5,344936.5
2024-01-09,1296663.5,344936.5
2024-01-10,1303498.1,352502.0
2024-01-11,1299889.2,356110.8
2024-01-12,1305618.2,364781.8
2024-01-13,1302804.3,367595.7
2024-01-14,1301292.2,369107.8
2024-01-15,1300670.4,369729.7
2024-01-16,1297787.4,372612.6
2024-01-17,1303830.4,380969.6
2024-01-18,1299029.1,385770.9
2024-01-19,1292142.9,407057.1
2024-01-20,1286303.5,427296.5
2024-01-21,1283799.2,444200.8
2024-01-22,1291203.2,451196.8
2024-01-23,1297936.3,458863.7
2024-01-24,1286891.1,484308.8
2024-01-25,1267451.2,518148.8
2024-01-26,1252465.6,547534.4
2024-01-27,1247064.4,567335.6
2024-01-28,1244371.4,584428.7
2024-01-29,1238689.0,604511.0
2024-01-30,1239458.9,618141.1
2024-01-31,1242296.8,629703.2
2024-02-01,1245380.5,641019.5
2024-02-02,1251318.7,649481.3
2024-02-03,1261275.3,653924.7
2024-02-07,1249324.4,723475.7
2024-02-08,1237145.0,750055.0
2024-02-09,1225515.6,776084.4
2024-02-10,1233145.3,782854.7
2024-02-11,1247159.9,783240.1
2024-02-12,1219683.8,825116.2
2024-02-13,1178217.0,880983.0
2024-02-14,1156408.6,917191.3
2024-02-15,1145071.8,942928.2
2024-02-16,1141278.5,961121.5
2024-02-17,1154278.6,962521.4
2024-02-18,1164324.3,966875.7
2024-02-19,1171294.9,974305.1
2024-02-20,1180213.0,979787.0
2024-02-21,1192296.3,982103.7
2024-02-22,1191956.8,982443.2
2024-02-23,1212271.4,990928.7
2024-02-24,1211896.7,1005703.3
2024-02-25,1219476.3,1012523.7
2024-02-26,1213802.5,1032597.5
2024-02-27,1186416.7,1074383.3
2024-02-28,1171286.4,1103913.6
2024-02-29,1152753.1,1136846.9
2024-03-01,1122303.4,1181696.6
2024-03-02,1099745.5,1218654.5
2024-03-03,1080425.8,1237974.2
2024-03-04,1079654.4,1267545.6
2024-03-05,1059415.7,1302184.3
2024-03-06,1043209.1,1332790.9
2024-03-07,1025403.1,1364996.9
2024-03-08,1014403.6,1390396.4
2024-03-09,996501.5,1422698.5
2024-03-10,992929.9,1440670.1
2024-03-11,978746.2,1469253.8
2024-03-12,961866.7,1500533.3
2024-03-13,943204.6,1533595.4
2024-03-14,941755.4,1549444.6
2024-03-15,944607.5,1560992.5
2024-03-16,959007.5,1560992.5
