date,balance,used
2023-12-09,735827.5,70572.5
2023-12-10,742294.2,73705.9
2023-12-11,740475.3,85124.7
2023-12-12,745461.1,89738.9
2023-12-13,749895.4,94904.6
2023-12-14,750809.2,103590.8
2023-12-15,751472.2,112527.8
2023-12-16,754130.2,119469.8
2023-12-17,751086.4,132113.6
2023-12-18,756928.3,135871.7
2023-12-19,761823.8,140576.1
2023-12-20,766297.4,145702.6
2023-12-21,772257.4,149342.5
2023-12-22,774217.5,156982.5
2023-12-28,792909.7,195890.3
2023-12-29,800053.1,198347.0
2023-12-31,817836.8,199763.2
2024-01-02,832020.3,204779.7
2024-01-03,830390.4,216009.6
2024-01-04,833743.3,222256.7
2024-01-05,839464.4,226135.6
2024-01-06,843109.4,232090.6
2024-01-07,842983.8,241816.1
2024-01-08,842975.4,251424.5
2024-01-09,842646.1,261353.9
2024-01-10,833032.2,280567.8
2024-01-11,833495.3,289704.7
2024-01-12,838501.1,294298.9
2024-01-13,840261.1,302138.9
2024-01-14,813861.5,338138.5
2024-01-15,794877.2,366722.8
2024-01-16,798318.1,372881.9
2024-01-17,805884.4,374915.6
2024-01-18,808752.8,381647.2
2024-01-19,811481.9,388518.1
2024-01-20,812991.8,396608.2
2024-01-21,814387.9,404812.1
2024-01-22,811777.0,417023.0
2024-01-23,815610.4,422789.6
2024-01-24,819643.0,428357.0
2024-01-25,815224.3,442375.7
2024-01-26,815978.6,451221.4
2024-01-27,819061.8,457738.2
2024-01-28,815720.4,470679.6
2024-01-29,799096.1,496903.9
2024-01-30,797550.5,508049.5
2024-01-31,794053.7,521146.3
2024-02-01,784665.3,540134.7
2024-02-02,778131.5,556268.5
2024-02-03,781785.9,562214.1
2024-02-07,788358.3,594041.7
2024-02-08,771539.6,620460.4
2024-02-09,748290.2,653309.8
2024-02-10,747427.3,663772.7
2024-02-11,752630.5,668169.5
2024-02-12,761613.3,668786.7
2024-02-13,749581.7,690418.3
2024-02-14,727351.5,722248.5
2024-02-15,706611.8,752588.2
2024-02-16,691834.1,776965.9
2024-02-17,682280.0,796120.0
2024-02-18,683647.1,804352.9
2024-02-19,689919.1,807680.9
2024-02-20,695231.1,811968.9
2024-02-21,704111.2,812688.8
2024-02-22,690695.7,826104.3
2024-02-23,679839.0,856161.0
2024-02-24,672867.3,872732.7
2024-02-25,678163.4,877036.6
2024-02-26,686602.4,878197.6
2024-02-27,690023.8,884376.2
2024-02-28,689977.9,894022.1
2024-02-29,699307.6,894292.4
2024-03-01,698529.1,904670.9
2024-03-02,684699.2,928100.8
2024-03-03,663739.1,949060.9
2024-03-04,652402.0,979598.0
2024-03-05,639670.8,1001929.2
2024-03-06,613752.0,1037448.0
2024-03-07,596033.8,1064766.2
2024-03-08,587794.6,1082605.4
2024-03-09,572165.4,1107834.6
2024-03-10,563275.8,1126324.2
2024-03-11,551487.0,1147713.0
2024-03-12,541286.6,1167513.4
2024-03-13,540658.6,1177741.4
2024-03-14,544322.2,1183677.8
2024-03-15,549923.6,1187676.4
2024-03-16,559523.6,1187676.4
