date,balance,used
2023-12-09,707083.1,89716.9
2023-12-10,711983.1,94416.9
2023-12-11,714316.3,101683.7
2023-12-12,714658.8,110941.2
2023-12-13,697682.3,137517.7
2023-12-14,698923.5,145876.5
2023-12-15,702993.7,151406.3
2023-12-16,707740.4,156259.6
2023-12-17,714539.4,159060.6
2023-12-18,724139.4,159060.6
2023-12-19,731769.4,161030.6
2023-12-20,736269.2,166130.9
2023-12-21,741015.8,170984.2
2023-12-22,741421.8,180178.2
2023-12-28,772579.7,206620.4
2023-12-29,776450.1,212349.9
2023-12-31,778556.8,229443.2
2024-01-02,783587.7,243612.4
2024-01-03,777650.3,259149.7
2024-01-04,785281.9,261118.0
2024-01-05,792831.2,263168.8
2024-01-06,798994.4,266605.6
2024-01-07,806832.4,268367.6
2024-01-08,815657.8,269142.2
2024-01-09,824463.1,269936.9
2024-01-10,832632.1,271367.9
2024-01-11,840327.7,273272.3
2024-01-12,844928.2,278271.8
2024-01-13,845145.6,287654.4
2024-01-14,849533.0,292867.0
2024-01-15,858259.7,293740.3
2024-01-16,866839.7,294760.3
2024-01-17,865440.4,296159.6
2024-01-18,868321.3,302878.7
2024-01-19,862099.4,309100.6
2024-01-20,860751.2,320048.8
2024-01-21,863459.0,326941.0
2024-01-22,860839.2,339160.8
2024-01-23,863616.6,345983.4
2024-01-24,860741.1,358458.9
2024-01-25,858735.3,370064.7
2024-01-26,856599.0,381801.0
2024-01-27,856734.1,391265.9
2024-01-28,851777.6,405822.4
2024-01-29,826832.3,440367.7
2024-01-30,812268.6,464531.4
2024-01-31,809996.1,476403.9
2024-02-01,797897.2,498102.8
2024-02-02,785088.5,520511.5
2024-02-03,793049.3,522150.7
2024-02-07,802781.8,550818.2
2024-02-08,802153.6,561046.4
2024-02-09,799472.2,573327.8
2024-02-10,805657.5,576742.5
2024-02-11,813009.6,578990.4
2024-02-12,810529.9,591070.1
2024-02-13,805629.2,605570.8
2024-02-14,785474.1,635325.9
2024-02-15,768900.3,661499.7
2024-02-16,753205.3,686794.7
2024-02-17,754440.7,695159.3
2024-02-18,757744.5,701455.5
2024-02-19,765576.8,703223.2
2024-02-20,774077.1,704322.9
2024-02-21,776777.8,711222.2
2024-02-22,775764.2,712235.8
2024-02-23,791501.9,715698.1
2024-02-24,799350.0,717450.0
2024-02-25,807058.1,719341.9
2024-02-26,807330.1,728669.9
2024-02-27,802884.7,742715.3
2024-02-28,795416.7,759783.3
2024-02-29,788923.9,775876.1
2024-03-01,785072.1,789327.9
2024-03-02,767293.9,816706.1
2024-03-03,747127.2,836872.8
2024-03-04,726068.2,877131.8
2024-03-05,713962.6,898837.4
2024-03-06,689873.2,932526.8
2024-03-07,665597.1,966402.9
2024-03-08,647597.9,994002.1
2024-03-09,625893.2,1025306.8
2024-03-10,609187.9,1051612.1
2024-03-11,598808.0,1071592.0
2024-03-12,587475.7,1092524.3
2024-03-13,576661.3,1112938.7
2024-03-14,561725.6,1137474.4
2024-03-15,551677.6,1157122.4
2024-03-16,560455.5,1157944.5
