date,balance,used
2023-12-09,593894.7,558545.9
2023-12-10,599746.9,562293.7
2023-12-11,608140.3,563500.3
2023-12-12,610424.3,570816.3
2023-12-13,611244.3,579596.3
2023-12-14,606698.5,593742.1
2023-12-15,612105.6,597935.0
2023-12-16,612445.6,607195.1
2023-12-17,614223.9,615016.7
2023-12-18,617753.6,621087.0
2023-12-19,620460.6,627980.0
2023-12-20,626198.8,631841.8
2023-12-21,634585.5,633055.1
2023-12-22,640774.6,636466.0
2023-12-28,685918.5,648922.1
2023-12-29,692751.7,651689.0
2023-12-31,708525.9,655114.7
2024-01-02,726330.1,656510.5
2024-01-03,733352.9,659087.7
2024-01-04,741242.1,660798.6
2024-01-05,749594.5,662046.1
2024-01-06,759194.5,662046.1
2024-01-07,767007.1,663833.5
2024-01-08,775781.5,664659.1
2024-01-09,782303.1,667737.5
2024-01-10,782482.3,677158.3
2024-01-11,787998.5,681242.1
2024-01-12,794582.1,684258.5
2024-01-13,802100.8,686339.8
2024-01-14,811087.7,686952.9
2024-01-15,818296.6,689344.1
2024-01-16,825626.0,691614.7
2024-01-17,833287.7,693552.9
2024-01-18,841250.8,695189.8
2024-01-19,847381.0,698659.6
2024-01-20,841327.9,714312.7
2024-01-21,831797.2,733443.4
2024-01-22,831277.5,743563.2
2024-01-23,824860.0,759580.6
2024-01-24,824844.2,769196.4
2024-01-25,832421.7,771218.9
2024-01-26,842021.7,771218.9
2024-01-27,846105.4,776735.2
2024-01-28,854125.9,778314.7
2024-01-29,860198.5,781842.2
2024-01-30,859882.0,791758.6
2024-01-31,849157.4,812083.2
2024-02-01,838964.4,831876.2
2024-02-02,829555.6,850885.0
2024-02-03,819706.7,870333.9
2024-02-07,780239.3,948201.3
2024-02-08,776271.2,961769.4
2024-02-09,771908.7,975731.9
2024-02-10,764325.5,992915.2
2024-02-11,767416.7,999424.0
2024-02-12,768591.6,1007849.0
2024-02-13,766862.8,1019177.8
2024-02-14,762097.8,1033542.8
2024-02-15,758894.4,1046346.2
2024-02-16,755033.3,1059807.3
2024-02-17,752372.9,1072067.8
2024-02-18,753908.9,1080131.8
2024-02-19,760375.4,1083265.3
2024-02-20,752026.1,1101214.6
2024-02-21,735630.3,1127210.3
2024-02-22,719447.1,1143393.5
2024-02-23,715837.2,1166203.5
2024-02-24,697449.3,1194191.3
2024-02-25,698857.3,1202383.3
2024-02-26,697528.2,1213312.4
2024-02-27,680814.7,1239626.0
2024-02-28,668962.2,1261078.4
2024-02-29,660676.3,1278964.3
2024-03-01,639427.7,1309812.9
2024-03-02,618618.8,1340221.8
2024-03-03,602060.1,1356780.5
2024-03-04,593257.1,1384783.6
2024-03-05,584877.3,1402763.3
2024-03-06,576050.4,1421190.3
2024-03-07,566413.7,1440426.9
2024-03-08,560736.5,1455704.1
2024-03-09,559331.2,1466709.4
2024-03-10,562466.7,1473173.9
2024-03-11,565837.4,1479403.2
2024-03-12,552699.8,1502140.8
2024-03-13,537957.2,1526483.4
2024-03-14,518129.7,1555911.0
2024-03-15,499162.8,1584477.8
2024-03-16,500090.5,1593150.1
