date,balance,used
2023-12-09,261796.5,85885.3
2023-12-10,261796.5,85885.3
2023-12-11,261796.5,85885.3
2023-12-12,261796.5,85885.3
2023-12-13,257729.1,89952.6
2023-12-14,254549.1,96012.6
2023-12-15,251967.7,101474.0
2023-12-16,247787.7,108534.0
2023-12-17,246176.6,113025.1
2023-12-18,244288.3,117793.4
2023-12-19,241289.5,123672.2
2023-12-20,239042.4,128799.3
2023-12-21,238889.1,131832.6
2023-12-22,239429.5,134172.2
2023-12-28,256709.5,134172.2
2023-12-29,259589.5,134172.2
2023-12-31,259589.5,134172.2
2024-01-02,259589.5,134172.2
2024-01-03,259583.1,134178.7
2024-01-04,262064.3,134577.5
2024-01-05,262013.7,134628.0
2024-01-06,262013.7,134628.0
2024-01-07,262013.7,134628.0
2024-01-08,261286.8,135354.9
2024-01-09,260242.6,136399.1
2024-01-10,259100.6,137541.1
2024-01-11,259841.9,139679.8
2024-01-12,261762.1,140639.6
2024-01-13,261726.0,140675.7
2024-01-14,261726.0,140675.7
2024-01-15,261726.0,140675.7
2024-01-16,261726.0,140675.7
2024-01-17,261726.0,140675.7
2024-01-18,259004.3,143397.5
2024-01-19,260249.8,145031.9
2024-01-20,260338.0,147823.8
2024-01-21,259745.4,151296.3
2024-01-22,259512.0,151529.7
2024-01-23,259078.4,151963.3
2024-01-24,261432.2,152489.5
2024-01-25,260679.1,153242.6
2024-01-26,260679.1,153242.6
2024-01-27,260261.1,153660.6
2024-01-28,260261.1,153660.6
2024-01-29,259966.5,153955.3
2024-01-30,259520.2,154401.5
2024-01-31,260526.9,156274.9
2024-02-01,258149.8,158651.9
2024-02-02,260258.9,159422.8
2024-02-03,261004.6,161557.1
2024-02-07,259806.0,165635.7
2024-02-08,255916.2,172405.5
2024-02-09,252328.8,178873.0
2024-02-10,247897.5,186184.2
2024-02-11,262532.2,188829.6
2024-02-12,273373.4,195268.3
2024-02-13,284220.3,201701.5
2024-02-14,293603.8,209598.0
2024-02-15,303788.6,216693.1
2024-02-16,314034.7,223727.0
2024-02-17,324791.1,230250.6
2024-02-18,339765.6,232556.2
2024-02-19,356629.6,232972.2
2024-02-20,370668.0,236213.7
2024-02-21,383141.8,241019.9
2024-02-22,381851.4,242310.3
2024-02-23,415629.1,243092.6
2024-02-24,432665.9,243335.8
2024-02-25,449784.0,243497.7
2024-02-26,466728.3,243833.4
2024-02-27,477122.7,250719.0
2024-02-28,487337.0,257784.8
2024-02-29,502146.4,260255.3
2024-03-01,516138.7,263543.0
2024-03-02,529416.6,267545.1
2024-03-03,529416.6,267545.1
2024-03-04,558072.2,273449.5
2024-03-05,561227.6,287574.1
2024-03-06,560779.3,305302.4
2024-03-07,551097.2,332264.5
2024-03-08,558487.0,342154.8
2024-03-09,559655.8,358266.0
2024-03-10,570427.6,364774.1
2024-03-11,574148.0,378333.7
2024-03-12,577133.9,392627.8
2024-03-13,582357.2,404684.5
2024-03-14,590974.3,413347.4
2024-03-15,599401.3,422200.4
2024-03-16,615831.7,423050.0
