date,balance,used
2023-12-09,217177.1,98587.6
2023-12-10,216158.3,99606.4
2023-12-11,216096.8,99668.0
2023-12-12,216632.6,101532.2
2023-12-13,216935.6,103629.2
2023-12-14,217871.8,105093.0
2023-12-15,216554.3,106410.5
2023-12-16,217356.1,108008.6
2023-12-17,215833.1,109531.6
2023-12-18,216451.5,111313.3
2023-12-19,216718.8,113446.0
2023-12-20,218070.1,114494.7
2023-12-21,218070.1,114494.7
2023-12-22,217988.5,114576.3
2023-12-28,217988.5,114576.3
2023-12-29,216795.2,115769.6
2023-12-31,216168.2,116396.6
2024-01-02,216168.2,116396.6
2024-01-03,217108.9,117855.9
2024-01-04,216737.2,118227.6
2024-01-05,216177.0,118787.8
2024-01-06,216177.0,118787.8
2024-01-07,216177.0,118787.8
2024-01-08,217089.2,120275.5
2024-01-09,216629.2,120735.5
2024-01-10,216629.2,120735.5
2024-01-11,218002.3,121762.5
2024-01-12,216953.4,122811.4
2024-01-13,216300.9,123463.9
2024-01-14,215598.2,126566.6
2024-01-15,216820.8,127744.0
2024-01-16,215871.7,128693.1
2024-01-17,218143.2,128821.5
2024-01-18,218143.2,128821.5
2024-01-19,218134.1,128830.7
2024-01-20,215477.3,133887.5
2024-01-21,211382.6,140382.2
2024-01-22,211959.0,142205.8
2024-01-23,212132.1,144432.6
2024-01-24,209879.9,149084.9
2024-01-25,206578.5,154786.3
2024-01-26,207118.5,156646.3
2024-01-27,208935.5,157229.2
2024-01-28,210548.6,158016.2
2024-01-29,204848.4,166116.4
2024-01-30,200911.4,172453.3
2024-01-31,193944.8,181820.0
2024-02-01,186867.0,191297.8
2024-02-02,179449.0,201115.8
2024-02-03,174569.0,208395.8
2024-02-07,152904.9,239659.9
2024-02-08,146378.4,248586.4
2024-02-09,141437.6,255927.2
2024-02-10,141630.2,258134.6
2024-02-11,143038.2,259126.6
2024-02-12,144324.1,260240.6
2024-02-13,145560.1,261404.6
2024-02-14,145300.9,264063.8
2024-02-15,146726.3,265038.5
2024-02-16,147719.0,266445.7
2024-02-17,149903.6,266661.2
2024-02-18,152295.5,266669.2
2024-02-19,154695.5,266669.2
2024-02-20,157095.5,266669.2
2024-02-21,158691.3,267473.5
2024-02-22,158395.2,267769.6
2024-02-23,163116.2,267848.6
2024-02-24,165411.9,267952.8
2024-02-25,167747.9,268016.8
2024-02-26,170078.2,268086.6
2024-02-27,168039.3,272525.5
2024-02-28,162941.0,280023.8
2024-02-29,163650.5,281714.3
2024-03-01,159333.0,288431.8
2024-03-02,156351.0,293813.8
2024-03-03,153884.0,296280.8
2024-03-04,153312.5,301652.2
2024-03-05,149699.1,307665.6
2024-03-06,147069.9,312694.9
2024-03-07,144913.5,317251.3
2024-03-08,146608.8,317955.9
2024-03-09,139712.8,327252.0
2024-03-10,133344.8,336020.0
2024-03-11,135225.0,336539.8
2024-03-12,129071.6,345093.2
2024-03-13,123183.6,353381.2
2024-03-14,119969.6,358995.1
2024-03-15,117457.6,363907.1
2024-03-16,118478.8,365286.0
